time,a_x,a_y,a_z,g_x,g_y,g_z,ax_1,ay_1,az_1,gx_1,gy_1,gz_1,theta1,theta2
1653586386.78,-13320,7344,-4920,-33,-269,195,9648,9112,-9608,266,-135,211,0.0,-0.0203435812145471
1653586386.78,-13320,7344,-4920,-33,-269,195,9648,9112,-9608,266,-135,211,0.0,-0.0203435812145471
1653586386.78,-13320,7344,-4920,-33,-269,195,9648,9112,-9608,266,-135,211,0.0,-0.0203435812145471
1653586386.78,-13320,7344,-4920,-33,-269,195,9648,9112,-9608,266,-135,211,0.0,-0.0203435812145471
1653586386.78,-13320,7344,-4920,-33,-269,195,9648,9112,-9608,266,-135,211,0.0,-0.0203435812145471
1653586386.78,-13320,7344,-4920,-33,-269,195,9648,9112,-9608,266,-135,211,0.0,-0.0203435812145471
1653586386.78,-13320,7344,-4920,-33,-269,195,9648,9112,-9608,266,-135,211,0.0,-0.0203435812145471
1653586386.78,-13320,7344,-4920,-33,-269,195,9648,9112,-9608,266,-135,211,0.0,-0.0203435812145471
1653586386.78,-13320,7344,-4920,-33,-269,195,9648,9112,-9608,266,-135,211,0.0,-0.0203435812145471
1653586386.78,-13320,7344,-4920,-33,-269,195,9648,9112,-9608,266,-135,211,0.0,-0.0203435812145471
1653586389.06,-13480,7280,-5168,-40,1198,-367,10224,9128,-8512,-27,-110,-376,0.0,-0.0203435812145471
1653586389.06,-13480,7280,-5168,-40,1198,-367,10224,9128,-8512,-27,-110,-376,0.0,-0.0203435812145471
1653586389.06,-13480,7280,-5168,-40,1198,-367,10224,9128,-8512,-27,-110,-376,0.0,-0.0203435812145471
1653586389.06,-13480,7280,-5168,-40,1198,-367,10224,9128,-8512,-27,-110,-376,0.0,-0.0203435812145471
1653586389.06,-13480,7280,-5168,-40,1198,-367,10224,9128,-8512,-27,-110,-376,0.0,-0.0203435812145471
1653586389.06,-13480,7280,-5168,-40,1198,-367,10224,9128,-8512,-27,-110,-376,0.0,-0.0203435812145471
1653586389.06,-13480,7280,-5168,-40,1198,-367,10224,9128,-8512,-27,-110,-376,0.0,-0.0203435812145471
1653586389.06,-13480,7280,-5168,-40,1198,-367,10224,9128,-8512,-27,-110,-376,0.0,-0.0203435812145471
1653586389.06,-13480,7280,-5168,-40,1198,-367,10224,9128,-8512,-27,-110,-376,0.0,-0.0203435812145471
1653586389.06,-13480,7280,-5168,-40,1198,-367,10224,9128,-8512,-27,-110,-376,0.0,-0.0203435812145471
1653586390.5,-12840,7808,-6144,-176,-176,-27,9800,8824,-9456,21,-330,315,0.0,-0.0203435812145471
1653586390.5,-12840,7808,-6144,-176,-176,-27,9800,8824,-9456,21,-330,315,0.0,-0.0203435812145471
1653586390.5,-12840,7808,-6144,-176,-176,-27,9800,8824,-9456,21,-330,315,0.0,-0.0203435812145471
1653586390.5,-12840,7808,-6144,-176,-176,-27,9800,8824,-9456,21,-330,315,0.0,-0.0203435812145471
